Date;Product; Registered ; DAU ; MAU ; Messages/day ; Funding ; Funding Cum ; Evaluation ; Revenues ; Profit ; Swipes/day ; Matches/day ; Matches Cum ; Source 
15-05-14;SnapChat;;;;700000000;;;;;;;;;http://en.wikipedia.org/wiki/Snapchat
15-06-14;SnapChat;;;27000000;;;;;;;;;;http://blogs.wsj.com/digits/2014/08/26/snapchat-said-to-have-more-than-100-million-monthly-active-users/
15-07-14;SnapChat;;;;700000000;;;;;;;;;digiday.com
26-08-14;SnapChat;;60000000;100000000;;;163000000;;;;;;;http://blogs.wsj.com/digits/2014/08/26/snapchat-said-to-have-more-than-100-million-monthly-active-users/
09-09-14;SnapChat;;;;;;;10000000000;;;;;;http://fortune.com/2014/08/26/snapchat-10-billion-value-kleiner-investment/
30-09-10;Tango;1;1;1;;;;;;;;;;http://www.tango.me/press/press-releases/page-4
11-10-10;Tango;1000000;;;;;;;;;;;;http://www.tango.me/press/press-releases/page-3
19-04-12;Tango;45000000;4500000;19800000;;40000000;100000000;;;;;;;http://www.tango.me/press/press-releases/tango-raises-40-million-in-series-c-financing
07-03-13;Tango;100000000;;;;;;;;;;;;http://www.tango.me/press/press-releases/tango-surpasses-100-million-users-and-celebrates-with-new-features
04-06-13;Tango;120000000;;;;;;;;;;;;http://www.tango.me/press/press-releases/tango-launches-new-content-platform-expanding-services-into-entertainment
16-07-13;Tango;130000000;;;;;;;;;;;;http://www.tango.me/press/press-releases/tango-introduces-new-social-networking-features
20-03-14;Tango;200000000;;70000000;;280000000;367000000;;;;;;;http://www.tango.me/press/press-releases/tango-secures-280-million-in-financing-led-by-alibaba-group
18-07-14;Tango;200000000;;70000000;;;;;;;;;;http://www.slideshare.net/ZoobeApp/mobile-messaging-wars-facebook-messenger-whatsapp-line-kakaotalk-viber-tango-wechat
15-09-14;Tango;250000000;;;;;;;;;;;;http://www.tango.me/press/press-releases/tangos-premier-game-road-riot-hits-one-million-daily-active-user-milestone
20-10-13;Telegram;1;1;1;;;;;;;;;;https://telegram.org/faq#q-what-is-telegram-what-do-i-do-here
27-10-13;Telegram;;100000;;;;;;;;;;;http://techcrunch.com/2013/10/27/meet-telegram-a-secure-messaging-app-from-the-founders-of-vk-russias-largest-social-network/
24-03-14;Telegram;;15000000;35000000;;;;;;;;;;http://en.wikipedia.org/wiki/Telegram_%28software%29
18-07-14;Telegram;;15000000;35000000;;;;;;;;;;http://www.slideshare.net/ZoobeApp/mobile-messaging-wars-facebook-messenger-whatsapp-line-kakaotalk-viber-tango-wechat
08-12-14;Telegram;;;50000000;1000000000;;;;;;;;;https://telegram.org/blog/billion
15-08-12;Tinder;1;1;1;;;;;;;1;1;1;
15-12-13;Tinder;;;;;;;;;;5000000;;;http://www.marketwatch.com/story/tinder-valuation-to-explode-to-1-billion-2014-09-04
15-02-14;Tinder;;;;;;;;;;750000000;;;http://www.marketwatch.com/story/tinder-valuation-to-explode-to-1-billion-2014-09-04
11-04-14;Tinder;;;;;50000000;;500000000;;;;;;http://www.thewire.com/technology/2014/04/the-tinder-dating-app-might-be-worth-5-billion/360551/
08-06-14;Tinder;;;;;75000000;;750000000;;;;;;http://valleywag.gawker.com/rumor-benchmark-may-invest-in-tinder-at-a-valuation-as-1616510533
05-09-14;Tinder;;;;;;;;;;1000000000;12000000;;http://www.marketwatch.com/story/tinder-valuation-to-explode-to-1-billion-2014-09-04
30-10-14;Tinder;;;50000000;;;;;;;;;;http://www.nytimes.com/2014/10/30/fashion/tinder-the-fast-growing-dating-app-taps-an-age-old-truth.html?_r=1
31-12-15;Tinder;;;;;;;1100000000;;;;;;http://www.marketwatch.com/story/tinder-valuation-to-explode-to-1-billion-2014-09-04
02-12-10;Viber;1;1;1;;;;;;;;;;http://en.wikipedia.org/wiki/Viber
15-05-11;Viber;50000;;;;;;;;;;;;http://en.wikipedia.org/wiki/Viber
15-02-12;Viber;50000000;;;;;;;;;;;;http://techcrunch.com/2013/02/26/skype-competitor-viber-hits-175-million-users-up-from-140-million-in-december/
15-05-12;Viber;70000000;;;;;;;;;;;;http://techcrunch.com/2013/02/26/skype-competitor-viber-hits-175-million-users-up-from-140-million-in-december/
24-07-12;Viber;90000000;;;;;;;;;;;;http://en.wikipedia.org/wiki/Viber
15-09-12;Viber;100000000;;;;;;;;;;;;http://techcrunch.com/2013/02/26/skype-competitor-viber-hits-175-million-users-up-from-140-million-in-december/
31-12-12;Viber;140000000;;;;;;;;;;;;http://techcrunch.com/2013/02/26/skype-competitor-viber-hits-175-million-users-up-from-140-million-in-december/
31-12-13;Viber;280000000;;;;;;;;;;;;http://www.mobileworldlive.com/viber-user-base-tops-600-million
13-02-14;Viber;200000000;;100000000;;;;900000000;;;;;;http://en.wikipedia.org/wiki/Viber
31-07-14;Viber;400000000;;;;;;;;;;;;http://venturebeat.com/2014/07/30/viber-now-has-400m-users-many-are-using-the-service-to-survive-in-the-war-torn-middle-east/
15-10-14;Viber;449000000;;209000000;;;;;;;;;;
15-10-10;WeChat;1;1;1;;;;;;;;;;
15-05-11;WeChat;;;2800000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-08-11;WeChat;;;14000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-11-11;WeChat;;;50000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-02-12;WeChat;;;100000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-05-12;WeChat;;;151000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-08-12;WeChat;;;209600000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-11-12;WeChat;;;160800000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-02-13;WeChat;;;194400000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-05-13;WeChat;;;235800000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-08-13;WeChat;;;336000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-11-13;WeChat;;;355000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-02-14;WeChat;;;396000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-05-14;WeChat;;;438000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-08-14;WeChat;;;468000000;;;;;;;;;;Tencent Q3 2014 Results, page 2
15-07-09;WhatsApp;1;1;1;;;;;;;;;;
15-10-11;WhatsApp;;;;1000000000;;;;;;;;;twitter.com/WhatsApp
15-02-12;WhatsApp;;;;2000000000;;;;;;;;;twitter.com/WhatsApp
15-08-12;WhatsApp;;;;10000000000;;;;;;;;;twitter.com/WhatsApp
15-04-13;WhatsApp;;;;20000000000;;;;;;;;;twitter.com/WhatsApp
15-04-13;WhatsApp;;;200000000;;;;;;;;;;wearesocial.sg
15-06-13;WhatsApp;;;;27000000000;;;;;;;;;twitter.com/WhatsApp
15-06-13;WhatsApp;;;250000000;;;;;;;;;;wearesocial.sg
15-08-13;WhatsApp;;;;31000000000;;;;;;;;;twitter.com/WhatsApp
15-08-13;WhatsApp;;;300000000;;;;;;;;;;wearesocial.sg
15-10-13;WhatsApp;;;350000000;;;;;;;;;;wearesocial.sg
15-12-13;WhatsApp;;;400000000;;;;;;;;;;wearesocial.sg
15-01-14;WhatsApp;;;;50000000000;;;;;;;;;twitter.com/WhatsApp
15-01-14;WhatsApp;;;430000000;;;;;;;;;;wearesocial.sg
15-02-14;WhatsApp;;325500000;465000000;;;;;;;;;;wearesocial.sg
15-04-14;WhatsApp;;;;64000000000;;;;;;;;;twitter.com/WhatsApp
15-04-14;WhatsApp;;;500000000;;;;;;;;;;wearesocial.sg
15-08-14;WhatsApp;;;600000000;;;;;;;;;;wearesocial.sg
